VK,HT,FT,HT_normalized,FT_normalized,Injection
32,64,48,0.03946488294314381,0.04054054054054054,0
66,80,112,0.05016722408026756,0.0945945945945946,0
73,128,96,0.0822742474916388,0.08108108108108109,0
66,128,96,0.0822742474916388,0.08108108108108109,0
76,128,192,0.0822742474916388,0.16216216216216217,0
69,112,96,0.07157190635451505,0.08108108108108109,0
32,112,80,0.07157190635451505,0.06756756756756757,0
67,112,176,0.07157190635451505,0.14864864864864866,0
76,112,128,0.07157190635451505,0.10810810810810811,0
69,112,112,0.07157190635451505,0.0945945945945946,0
65,112,112,0.07157190635451505,0.0945945945945946,0
82,144,48,0.09297658862876254,0.04054054054054054,0
76,128,64,0.0822742474916388,0.05405405405405406,0
89,131,96,0.08428093645484949,0.08108108108108109,0
32,112,96,0.07157190635451505,0.08108108108108109,0
83,112,288,0.07157190635451505,0.24324324324324326,0
84,128,80,0.0822742474916388,0.06756756756756757,0
65,80,128,0.05016722408026756,0.10810810810810811,0
84,112,80,0.07157190635451505,0.06756756756756757,0
69,160,80,0.10367892976588629,0.06756756756756757,0
83,128,128,0.0822742474916388,0.10810810810810811,0
32,80,96,0.05016722408026756,0.08108108108108109,0
72,112,160,0.07157190635451505,0.13513513513513514,0
79,112,112,0.07157190635451505,0.0945945945945946,0
87,112,80,0.07157190635451505,0.06756756756756757,0
32,80,112,0.05016722408026756,0.0945945945945946,0
65,112,128,0.07157190635451505,0.10810810810810811,0
32,64,48,0.03946488294314381,0.04054054054054054,0
77,80,128,0.05016722408026756,0.10810810810810811,0
65,96,112,0.06086956521739131,0.0945945945945946,0
78,96,80,0.06086956521739131,0.06756756756756757,0
32,96,96,0.06086956521739131,0.08108108108108109,0
83,128,128,0.0822742474916388,0.10810810810810811,0
72,80,48,0.05016722408026756,0.04054054054054054,0
79,128,48,0.0822742474916388,0.04054054054054054,0
85,112,64,0.07157190635451505,0.05405405405405406,0
76,112,176,0.07157190635451505,0.14864864864864866,0
68,128,16,0.0822742474916388,0.013513513513513514,0
32,79,129,0.049498327759197325,0.1089527027027027,0
78,128,79,0.0822742474916388,0.06672297297297297,0
79,96,384,0.06086956521739131,0.32432432432432434,0
84,128,96,0.0822742474916388,0.08108108108108109,0
32,80,64,0.05016722408026756,0.05405405405405406,0
76,144,96,0.09297658862876254,0.08108108108108109,0
73,112,80,0.07157190635451505,0.06756756756756757,0
69,64,112,0.03946488294314381,0.0945945945945946,0
32,80,80,0.05016722408026756,0.06756756756756757,0
87,112,80,0.07157190635451505,0.06756756756756757,0
73,80,80,0.05016722408026756,0.06756756756756757,0
84,112,112,0.07157190635451505,0.0945945945945946,0
72,96,48,0.06086956521739131,0.04054054054054054,0
32,96,80,0.06086956521739131,0.06756756756756757,0
65,128,80,0.0822742474916388,0.06756756756756757,0
78,80,64,0.05016722408026756,0.05405405405405406,0
79,128,48,0.0822742474916388,0.04054054054054054,0
84,96,112,0.06086956521739131,0.0945945945945946,0
72,96,64,0.06086956521739131,0.05405405405405406,0
69,112,80,0.07157190635451505,0.06756756756756757,0
82,144,48,0.09297658862876254,0.04054054054054054,0
32,96,32,0.06086956521739131,0.02702702702702703,0
77,80,336,0.05016722408026756,0.28378378378378377,0
65,112,96,0.07157190635451505,0.08108108108108109,0
78,96,96,0.06086956521739131,0.08108108108108109,0
32,64,96,0.03946488294314381,0.08108108108108109,0
79,128,80,0.0822742474916388,0.06756756756756757,0
82,112,112,0.07157190635451505,0.0945945945945946,0
32,80,64,0.05016722408026756,0.05405405405405406,0
73,96,128,0.06086956521739131,0.10810810810810811,0
84,96,96,0.06086956521739131,0.08108108108108109,0
32,64,96,0.03946488294314381,0.08108108108108109,0
73,80,1104,0.05016722408026756,0.9324324324324325,0
83,80,80,0.05016722408026756,0.06756756756756757,0
32,96,80,0.06086956521739131,0.06756756756756757,0
65,80,592,0.05016722408026756,0.5,0
78,128,64,0.0822742474916388,0.05405405405405406,0
32,112,96,0.07157190635451505,0.08108108108108109,0
65,128,368,0.0822742474916388,0.3108108108108108,0
66,80,64,0.05016722408026756,0.05405405405405406,0
79,112,128,0.07157190635451505,0.10810810810810811,0
77,80,208,0.05016722408026756,0.17567567567567569,0
73,128,160,0.0822742474916388,0.13513513513513514,0
78,113,48,0.07224080267558529,0.04054054054054054,0
65,110,114,0.07023411371237458,0.09628378378378379,0
84,112,78,0.07157190635451505,0.06587837837837837,0
73,112,64,0.07157190635451505,0.05405405405405406,0
79,128,80,0.0822742474916388,0.06756756756756757,0
78,96,128,0.06086956521739131,0.10810810810810811,0
8,1500,1184,1.0,1.0,0
65,112,-1,0.07157190635451505,-1.0,0
78,144,96,0.09297658862876254,0.08108108108108109,0
32,80,528,0.05016722408026756,0.44594594594594594,0
65,112,192,0.07157190635451505,0.16216216216216217,0
66,96,112,0.06086956521739131,0.0945945945945946,0
79,112,208,0.07157190635451505,0.17567567567567569,0
77,64,256,0.03946488294314381,0.21621621621621623,0
73,112,160,0.07157190635451505,0.13513513513513514,0
78,112,48,0.07157190635451505,0.04054054054054054,0
65,112,96,0.07157190635451505,0.08108108108108109,0
84,144,80,0.09297658862876254,0.06756756756756757,0
73,112,80,0.07157190635451505,0.06756756756756757,0
79,128,64,0.0822742474916388,0.05405405405405406,0
78,112,80,0.07157190635451505,0.06756756756756757,0
190,80,192,0.05016722408026756,0.16216216216216217,0
32,112,80,0.07157190635451505,0.06756756756756757,0
16,144,96,0.09297658862876254,0.08108108108108109,0
84,144,96,0.09297658862876254,0.08108108108108109,0
72,96,112,0.06086956521739131,0.0945945945945946,0
73,144,48,0.09297658862876254,0.04054054054054054,0
83,96,128,0.06086956521739131,0.10810810810810811,0
32,80,96,0.05016722408026756,0.08108108108108109,0
66,112,128,0.07157190635451505,0.10810810810810811,0
79,224,176,0.14648829431438126,0.14864864864864866,0
75,128,320,0.0822742474916388,0.2702702702702703,0
32,80,112,0.05016722408026756,0.0945945945945946,0
79,112,112,0.07157190635451505,0.0945945945945946,0
70,112,128,0.07157190635451505,0.10810810810810811,0
32,96,112,0.06086956521739131,0.0945945945945946,0
71,112,192,0.07157190635451505,0.16216216216216217,0
85,80,64,0.05016722408026756,0.05405405405405406,0
73,112,160,0.07157190635451505,0.13513513513513514,0
68,48,80,0.028762541806020066,0.06756756756756757,0
69,80,160,0.05016722408026756,0.13513513513513514,0
76,80,32,0.05016722408026756,0.02702702702702703,0
73,128,176,0.0822742474916388,0.14864864864864866,0
78,128,64,0.0822742474916388,0.05405405405405406,0
69,64,112,0.03946488294314381,0.0945945945945946,0
83,128,128,0.0822742474916388,0.10810810810810811,0
32,96,96,0.06086956521739131,0.08108108108108109,0
67,112,160,0.07157190635451505,0.13513513513513514,0
76,64,112,0.03946488294314381,0.0945945945945946,0
69,128,64,0.0822742474916388,0.05405405405405406,0
65,128,128,0.0822742474916388,0.10810810810810811,0
82,160,80,0.10367892976588629,0.06756756756756757,0
76,80,0,0.05016722408026756,0.0,0
89,128,160,0.0822742474916388,0.13513513513513514,0
32,80,96,0.05016722408026756,0.08108108108108109,0
83,112,96,0.07157190635451505,0.08108108108108109,0
84,176,96,0.11438127090301003,0.08108108108108109,0
65,176,192,0.11438127090301003,0.16216216216216217,0
84,176,144,0.11438127090301003,0.12162162162162163,0
69,160,96,0.10367892976588629,0.08108108108108109,0
83,128,160,0.0822742474916388,0.13513513513513514,0
188,112,112,0.07157190635451505,0.0945945945945946,0
32,112,80,0.07157190635451505,0.06756756756756757,0
8,272,352,0.17859531772575252,0.2972972972972973,0
32,128,336,0.0822742474916388,0.28378378378378377,0
73,144,96,0.09297658862876254,0.08108108108108109,0
84,128,128,0.0822742474916388,0.10810810810810811,0
188,112,240,0.07157190635451505,0.20270270270270271,0
